investor_id,name,risk_tolerance,preferred_sector,domain,investment_goal
d5b7a553-be8e-4b7b-80bc-26dce546e610,Dalton Roberts,Moderate,HealthTech,HealthTech,Education
67ce2d2a-b75a-4ea9-abd3-393be488bb93,Maria Ball,Moderate,EduTech,EduTech,Education
44c624c1-47de-42e7-90b4-c4977db23231,Sarah Morgan DDS,Moderate,EnergyTech,EnergyTech,Wealth Growth
58be0c9e-f5a6-4d70-a23f-095a6d75bf21,Brittany Long,Moderate,EduTech,EduTech,Wealth Growth
b1bc1669-9018-41c5-aecf-0663e29269c9,Christopher Andrade,High,GreenTech,GreenTech,Wealth Growth
3cab2067-568b-4bed-b434-a8bcae2f40b8,John Reyes,Low,EduTech,EduTech,Education
d97138e6-3435-4414-9222-6faccb5bf434,Kristy Duncan,High,HealthTech,HealthTech,Education
cd94f517-3461-4970-af5b-0f2377671dbe,Clayton Johnson,Moderate,EduTech,EduTech,Education
01a5ec0a-acff-4014-aeda-1c9001c99a2f,Tony Reyes,High,HealthTech,HealthTech,Short-term Gain
41418658-5ab8-4797-a5fb-2e6167d23ac5,Amanda Brown,Low,GreenTech,GreenTech,Short-term Gain
178c92ca-b620-4ebc-9b52-d4713b57414f,Andrew Lee,High,FinTech,FinTech,Retirement
e223cd71-0824-4224-9f01-1b1898131d04,Michelle Brewer,High,FinTech,FinTech,Wealth Growth
3880df7b-2c4a-495e-a849-ce65c1f873e1,Thomas Walsh,Low,EduTech,EduTech,Wealth Growth
6ddbc68e-f6db-47aa-9bb5-c2e02752ba24,Mary Sims,Moderate,FinTech,FinTech,Retirement
4b71df28-fcaa-42e5-b268-a7b3a0c21e16,Carol Moody,Moderate,FinTech,FinTech,Education
f35ba598-89a0-499a-8465-5cb1262b3107,William Walker,Low,HealthTech,HealthTech,Retirement
f0cdb002-b156-490a-b5d2-f9dc42c3c22e,Katherine Knight,Moderate,EduTech,EduTech,Education
d19a333c-e1fc-4776-93e3-35978a8c8a14,Jennifer Cruz,Low,EnergyTech,EnergyTech,Retirement
e03957e2-ad6d-4cc6-8933-9cd24fd11737,Shelia Marshall,Moderate,EnergyTech,EnergyTech,Short-term Gain
